 ,opposition,result,competition,season,scorer,assist,url,pen
2001/08/26,venezia,1-0,serie a,2001-02,trezeguet,zenoni,MQ4iSUW,
2001/08/26,venezia,2-0,serie a,2001-02,trezeguet,zambrotta,xd0mADV,
2001/08/26,venezia,3-0,serie a,2001-02,del piero,freekick,xamFa2M,
2001/08/26,venezia,4-0,serie a,2001-02,del piero,salas,rAdsoW6,
2001/09/09,atalanta,1-0,serie a,2001-02,del piero,tacchinardi,zdTKGc8,
2001/09/09,atalanta,2-0,serie a,2001-02,trezeguet,tacchinardi,Wq901Kr,
2001/09/15,chievo,1-2,serie a,2001-02,tacchinardi,none,S5EvUeu,
2001/09/15,chievo,2-2,serie a,2001-02,tudor,del piero,eDYVp4p,
2001/09/15,chievo,3-2,serie a,2001-02,salas,penalty,m7UVTRR,
2001/09/18,celtic,1-0,ucl,2001-02,trezeguet,salas,Z5W3A9C,
2001/09/18,celtic,2-0,ucl,2001-02,trezeguet,del piero,DLNWBaF,
2001/09/18,celtic,3-2,ucl,2001-02,amoruso,amoruso,AgwF3SW,
2001/09/25,rosenborg,1-0,ucl,2001-02,del piero,trezeguet,F7M4dp4,
2001/10/14,torino,1-0,serie a,2001-02,del piero,nedved,gWyCi8i,
2001/10/14,torino,2-0,serie a,2001-02,tudor,none,gDbyKQs,
2001/10/14,torino,3-0,serie a,2001-02,del piero,nedved,GAENk5V,
2001/10/17,rosenborg,1-0,ucl,2001-02,trezeguet,del piero,dDNJvHC,
2001/10/23,porto,1-1,ucl,2001-02,del piero,freekick,Ktb9IdZ,
2001/10/23,porto,2-1,ucl,2001-02,montero,del piero,G1800xs,
2001/10/23,porto,3-1,ucl,2001-02,trezeguet,nedved,TyqEecb,
2001/10/31,celtic,1-0,ucl,2001-02,del piero,freekick,nO3VsSy,
2001/10/31,celtic,2-2,ucl,2001-02,trezeguet,amoruso,ZwwJ2U8,
2001/10/31,celtic,3-4,ucl,2001-02,trezeguet,none,3hx5P0E,
2001/11/04,hellas,1-2,serie a,2001-02,tudor,del piero,ktS9Dia,
2001/11/04,hellas,2-2,serie a,2001-02,trezeguet,none,oXpa3dz,
2001/11/11,sampdoria,1-0,coppa,2001-02,zalayeta,pessotto,Ft4xluN,
2001/11/11,sampdoria,2-0,coppa,2001-02,own goal,mirko conte,S3WexAh,
2001/11/18,parma,1-0,serie a,2001-02,trezeguet,iuliano,8IntDmN,
2001/11/18,parma,2-1,serie a,2001-02,del piero,none,3UOnx0l,
2001/11/18,parma,3-1,serie a,2001-02,trezeguet,maresca,XMgS7QH,
2001/11/29,leverkusen,1-0,ucl,2001-02,trezeguet,del piero,AGXl3J3,
2001/11/29,leverkusen,2-0,ucl,2001-02,del piero,trezeguet,SqVq2QX,
2001/11/29,leverkusen,3-0,ucl,2001-02,tudor,tacchinardi,YBwGDS3,
2001/11/29,leverkusen,4-0,ucl,2001-02,trezeguet,nedved,lh4ttbf,
2001/12/01,perugia,1-0,serie a,2001-02,nedved,del piero,xNdoZUU,
